F9709,Laura,Garcia,Condori,1939-11-25,914931927,57096439,laura.garcia@vitasalud.com
F1308,Ciro,Poma,Valdez,2009-03-20,996054093,80896674,ciro.poma@vitasalud.com
F4373,Ricardo,Gomez,Gomez,1964-08-14,960254716,39252613,ricardo.gomez@vitasalud.com
F9245,Margarita,Acuña,Sanchez,1987-06-22,998936026,34854315,margarita.acuña@vitasalud.com
F7124,Renzo,Morales,Acuña,2009-06-21,996185757,89756852,renzo.morales@vitasalud.com
F1347,Pamela,Hernandez,Huaman,2020-08-07,972431064,10805542,pamela.hernandez@vitasalud.com
F2009,Rosa,Vargas,Puma,1972-01-08,962930784,33266498,rosa.vargas@vitasalud.com
F8313,Cesar,Condori,Campos,1946-01-11,917356414,41189610,cesar.condori@vitasalud.com
F5184,Susana,Vargas,Ramos,2021-03-28,918960149,30107260,susana.vargas@vitasalud.com
F6355,Edgar,Quispe,Yauri,2020-08-07,938266125,16972169,edgar.quispe@vitasalud.com
F4930,Gabriela,Romero,Huaman,1960-01-15,936325311,44438701,gabriela.romero@vitasalud.com
F4333,Enrique,Morales,Valdez,1999-09-22,966923523,75784675,enrique.morales@vitasalud.com
F3707,Carolina,Gallardo,Acuña,2021-02-09,988200269,20745419,carolina.gallardo@vitasalud.com
F4222,Lourdes,Cordova,Quispe,1997-08-25,972782711,80309506,lourdes.cordova@vitasalud.com
F7452,Elena,Sanchez,Silva,1966-07-21,935973943,57873664,elena.sanchez@vitasalud.com
F9900,Raquel,Gutierrez,Aguilar,2018-05-25,975287190,33405349,raquel.gutierrez@vitasalud.com
F3783,Raquel,Navarro,Romero,2006-06-07,913204201,66812488,raquel.navarro@vitasalud.com
F3394,Marisol,Loayza,Salazar,1986-03-15,982836091,18710470,marisol.loayza@vitasalud.com
F5208,Sandra,Zapata,Navarro,1940-03-07,973238670,35350651,sandra.zapata@vitasalud.com
F2964,Teresa,Vega,Lopez,1982-03-25,996811428,95052423,teresa.vega@vitasalud.com
F7364,Pamela,Campos,Roca,1931-12-23,942896161,70799903,pamela.campos@vitasalud.com
F1978,Fernando,Roca,Soto,1973-05-05,976948080,77399739,fernando.roca@vitasalud.com
F9924,Ingrid,Arias,Vera,1957-11-28,964664102,67338578,ingrid.arias@vitasalud.com
F1411,Luis,Alvarez,Aguirre,1973-09-23,966109066,90320809,luis.alvarez@vitasalud.com
F6306,Cristina,Poma,Aguilar,1971-02-19,976602336,85238579,cristina.poma@vitasalud.com
F4085,Felix,Silva,Aguirre,1938-08-18,968164046,79270531,felix.silva@vitasalud.com
F4602,Raquel,Saucedo,Navarro,1967-01-12,917705357,70633075,raquel.saucedo@vitasalud.com
F5968,Patricia,Vallejos,Castillo,1960-12-25,960149331,54933923,patricia.vallejos@vitasalud.com
F2248,Gabriela,Gonzalez,Castillo,2008-08-02,988409873,38773759,gabriela.gonzalez@vitasalud.com
F3463,Martha,Gonzalez,Fernandez,1988-06-02,977935246,76070278,martha.gonzalez@vitasalud.com
F6666,Nancy,Perez,Hinojosa,1997-05-27,915776995,63532931,nancy.perez@vitasalud.com
F3877,Oscar,Pacheco,Arias,1941-12-25,993011441,44080090,oscar.pacheco@vitasalud.com
F6627,Diana,Valenzuela,Ramos,1955-09-20,991511354,95323261,diana.valenzuela@vitasalud.com
F1998,Ana,Flores,Estrada,1980-02-03,999801054,20712931,ana.flores@vitasalud.com
F8157,Guido,Arias,Condori,1958-08-12,977933219,60481427,guido.arias@vitasalud.com
F1675,Victoria,Cruz,Chavez,1961-11-08,968160487,90994110,victoria.cruz@vitasalud.com
F4375,Oscar,Gutierrez,Villanueva,2001-02-16,917690178,35932877,oscar.gutierrez@vitasalud.com
F4808,Margarita,Leon,Estrada,1968-09-15,968460559,84337025,margarita.leon@vitasalud.com
F5305,Miriam,Aguirre,Villanueva,1993-09-04,975628512,95866743,miriam.aguirre@vitasalud.com
F9983,Juan,Chambi,Mayta,1979-12-17,965980148,34543338,juan.chambi@vitasalud.com
F9207,Sandra,Sanchez,Valenzuela,1995-03-25,952193282,22040533,sandra.sanchez@vitasalud.com
F5916,Sandra,Salazar,Fernandez,1960-01-07,995459620,19096204,sandra.salazar@vitasalud.com
F1338,Edwin,Villanueva,Maldonado,2012-01-02,936826957,99877709,edwin.villanueva@vitasalud.com
F7486,Gonzalo,Gallardo,Mayta,1973-09-19,946467233,98613230,gonzalo.gallardo@vitasalud.com
F9227,Luis,Mamani,Hernandez,2020-09-05,941788444,63037992,luis.mamani@vitasalud.com
F8576,Olga,Acuña,Loayza,1979-09-10,976507795,25920509,olga.acuña@vitasalud.com
F1761,Eduardo,Romero,Ortega,2006-03-27,951656397,52703932,eduardo.romero@vitasalud.com
F5126,Edgar,Paredes,Peña,1948-03-13,927519550,95376217,edgar.paredes@vitasalud.com
F8439,Silvia,Loayza,Castañeda,1935-03-09,985099270,80377141,silvia.loayza@vitasalud.com
F1260,Ana,Hinojosa,Salazar,1947-05-25,934079560,74923622,ana.hinojosa@vitasalud.com
F1324,Lucia,Romero,Puma,1960-05-20,918886608,83975891,lucia.romero@vitasalud.com
F8098,Beatriz,Gomez,Fernandez,1981-10-20,943018696,80448239,beatriz.gomez@vitasalud.com
F3407,Javier,Estrada,Garcia,1946-05-12,988666207,30046515,javier.estrada@vitasalud.com
F4381,Juan,Gonzalez,Reyes,2001-11-12,914654169,62418475,juan.gonzalez@vitasalud.com
F5091,Eloy,Lopez,Saucedo,2000-03-23,995444006,81421190,eloy.lopez@vitasalud.com
F1190,Rita,Ramirez,Valle,2002-09-04,924995093,61710079,rita.ramirez@vitasalud.com
F1109,Flor,Ramirez,Calderon,1989-12-09,997779299,70059390,flor.ramirez@vitasalud.com
F6796,Marcos,Castillo,Torres,1931-02-04,962189717,34927988,marcos.castillo@vitasalud.com
F8679,Rita,Medina,Saucedo,1990-01-09,952510783,63602852,rita.medina@vitasalud.com
F9995,Felix,Acuña,Navarro,1942-09-12,937208727,18684797,felix.acuña@vitasalud.com
F8122,Lucia,Garcia,Chambi,1988-09-10,949783250,31098109,lucia.garcia@vitasalud.com
F1143,Marcelo,Yauri,Valle,1935-05-20,993563219,94838048,marcelo.yauri@vitasalud.com
F4203,Marlon,Valencia,Lopez,1957-02-10,949108764,30959447,marlon.valencia@vitasalud.com
F4129,Adriana,Flores,Silva,1968-03-14,940434724,56373916,adriana.flores@vitasalud.com
F1529,Pilar,Villanueva,Fernandez,1963-03-02,925824172,52950439,pilar.villanueva@vitasalud.com
F3000,Gabriela,Ortega,Aguilar,1987-09-18,941100175,80956030,gabriela.ortega@vitasalud.com
F6642,Eva,Peña,Flores,1987-10-19,955284962,47925959,eva.peña@vitasalud.com
F9950,Lucia,Quispe,Sanchez,2011-08-25,980333772,24536271,lucia.quispe@vitasalud.com
F3512,Pablo,Cruz,Peña,1974-02-17,922782267,52578730,pablo.cruz@vitasalud.com
F4542,Pamela,Ortega,Hinojosa,1964-05-23,915160799,41030530,pamela.ortega@vitasalud.com
F4784,Alicia,Condori,Aguirre,1991-12-09,992366592,87049264,alicia.condori@vitasalud.com
F1213,Raul,Silva,Arias,1933-08-11,989864076,40167361,raul.silva@vitasalud.com
F4513,Lourdes,Lopez,Garcia,1946-03-12,939517213,32160042,lourdes.lopez@vitasalud.com
F5929,Pablo,Ortega,Sanchez,1995-04-23,929007442,23245616,pablo.ortega@vitasalud.com
F6988,Rocio,Pacheco,Valdez,2001-10-18,954394419,80216891,rocio.pacheco@vitasalud.com
F8322,Rocio,Castillo,Arce,1933-07-08,939028192,97598970,rocio.castillo@vitasalud.com
F1339,Victor,Arce,Chavez,1948-01-09,968156251,50874495,victor.arce@vitasalud.com
F9159,Roberto,Flores,Arias,1964-09-14,981801764,94415598,roberto.flores@vitasalud.com
F8836,Rocio,Peña,Valencia,1988-05-06,997319163,96827842,rocio.peña@vitasalud.com
F5675,Nestor,Gutierrez,Poma,1983-01-04,954294895,55115151,nestor.gutierrez@vitasalud.com
F1173,Renzo,Pizarro,Diaz,1949-09-08,980602393,29650184,renzo.pizarro@vitasalud.com
F5095,Maria,Hernandez,Vallejos,1958-03-02,939695122,86212328,maria.hernandez@vitasalud.com
F8586,Guido,Zapata,Landa,1943-05-05,985285141,18562097,guido.zapata@vitasalud.com
F9016,Eloy,Ortega,Cordova,2012-12-26,960505563,10247309,eloy.ortega@vitasalud.com
F1871,Martha,Torres,Alvarez,1958-01-13,920622348,31006617,martha.torres@vitasalud.com
F4051,Rosa,Silva,Gomez,1935-09-03,974876806,29016788,rosa.silva@vitasalud.com
F7511,Carolina,Castañeda,Yauri,2022-07-25,958580714,15792722,carolina.castañeda@vitasalud.com
F6111,Carolina,Estrada,Peña,1973-01-04,913504955,19338152,carolina.estrada@vitasalud.com
F7146,Oscar,Navarro,Vega,2003-08-23,969606223,33146663,oscar.navarro@vitasalud.com
F2470,Monica,Torres,Hernandez,1987-12-22,917506295,57810861,monica.torres@vitasalud.com
F4141,Eduardo,Chambi,Flores,1971-11-24,977405886,92807592,eduardo.chambi@vitasalud.com
F6408,Cecilia,Rojas,Poma,1972-09-24,979340710,38818674,cecilia.rojas@vitasalud.com
F2165,Wendy,Quispe,Chavez,1974-06-01,988174011,50289479,wendy.quispe@vitasalud.com
F5739,Andres,Aguirre,Morales,1972-07-12,981347374,91365192,andres.aguirre@vitasalud.com
F1883,Josue,Lopez,Aguilar,1945-03-28,931990643,31423385,josue.lopez@vitasalud.com
F5348,Sandra,Aguirre,Quispe,1962-10-07,965218014,42326785,sandra.aguirre@vitasalud.com
F3507,Miguel,Campos,Paredes,1976-10-04,955213745,67946744,miguel.campos@vitasalud.com
F5546,Cecilia,Valdez,Flores,2005-08-20,991825208,95332312,cecilia.valdez@vitasalud.com
F6070,Roberto,Pacheco,Romero,1989-10-02,980844777,57918203,roberto.pacheco@vitasalud.com
F9305,Sandra,Aguilar,Rodriguez,2013-06-26,931330726,55689918,sandra.aguilar@vitasalud.com
F3658,Marcelo,Luna,Ortega,1931-03-12,970459838,84440012,marcelo.luna@vitasalud.com
F3924,Albert,Cordova,Puma,2004-05-26,912380954,20065797,albert.cordova@vitasalud.com
F9755,Frank,Pacheco,Medina,2019-08-09,937965814,87331996,frank.pacheco@vitasalud.com
F4413,Henry,Rodriguez,Estrella,1976-09-11,945458696,22294764,henry.rodriguez@vitasalud.com
F4267,Edgar,Zapata,Arias,1967-02-16,948558143,85976487,edgar.zapata@vitasalud.com
F2601,Cecilia,Roca,Quispe,1982-07-23,912944241,41404259,cecilia.roca@vitasalud.com
F5704,Martha,Cruz,Arias,1950-05-08,917326419,92334887,martha.cruz@vitasalud.com
F8575,Marisol,Rodriguez,Estrada,1963-04-25,959246209,33042867,marisol.rodriguez@vitasalud.com
F5312,Pamela,Roca,Aguirre,1997-07-10,992573114,73463065,pamela.roca@vitasalud.com
F1665,Manuel,Alvarez,Vega,1962-03-15,916936729,79293130,manuel.alvarez@vitasalud.com
