D4249, 071491, Mónica, Figueroa, Vargas, 10/5/1967, 966948864, 23382340, mónica.figueroa@vitasalud.com, Neurología
D7714, 089949, Pablo, Vásquez, Bravo, 27/2/1981, 942342014, 13197304, pablo.vásquez@vitasalud.com, Psiquiatría
D2949, 018453, Eugenia, Alarcón, Vega, 23/10/2002, 920079361, 66328617, eugenia.alarcón@vitasalud.com, Pediatría
D5660, 078651, Salma, Ramírez, Lara, 24/4/2018, 995949492, 53354822, salma.ramírez@vitasalud.com, Urología
D4068, 064250, Abril, Vera, Ríos, 7/1/2009, 918170473, 67320604, abril.vera@vitasalud.com, Medicina Familiar y Comunitaria
D6527, 036319, Raquel, Bravo, Avila, 6/11/1962, 970730744, 66891619, raquel.bravo@vitasalud.com, Cirugía Plástica
D6214, 080887, Óscar, Bello, Soto, 17/10/2020, 931829055, 71267905, óscar.bello@vitasalud.com, Otorrinolaringología
D9326, 049190, Miguel, Hidalgo, Reyes, 3/8/2010, 955655684, 62622666, miguel.hidalgo@vitasalud.com, Neurología
D7718, 051634, Sara, Cifuentes, Andrade, 4/9/1961, 949848811, 13297605, sara.cifuentes@vitasalud.com, Cirugía Plástica
D5790, 015982, Estela, Hidalgo, Vidal, 5/1/1963, 948819597, 44262354, estela.hidalgo@vitasalud.com, Anestesiología
D9336, 050115, Natalia, Andrade, Venegas, 4/1/1991, 924905782, 46015123, natalia.andrade@vitasalud.com, Medicina Interna
D7017, 019298, Inés, Hernández, González, 13/9/2008, 935568219, 32563160, inés.hernández@vitasalud.com, Psiquiatría
D4560, 010706, Isabel, Duarte, Ortega, 2/3/1994, 938249703, 80958604, isabel.duarte@vitasalud.com, Medicina Interna
D3295, 047116, Rubén, Campos, Pérez, 12/7/1959, 919843817, 29311157, rubén.campos@vitasalud.com, Oncología
D9571, 056382, Amelia, Ortega, Navarro, 27/5/1937, 959581121, 94437138, amelia.ortega@vitasalud.com, Medicina Familiar y Comunitaria
D9486, 084263, Marta, Ibacache, Peña, 24/3/1974, 977356153, 11679815, marta.ibacache@vitasalud.com, Endocrinología
D4433, 083680, Gloria, Miranda, Silva, 14/3/1934, 914397986, 47281115, gloria.miranda@vitasalud.com, Oncología
D1525, 019654, Vicente, Rodríguez, González, 28/3/2001, 930255582, 48867144, vicente.rodríguez@vitasalud.com, Dermatología
D2621, 045720, Esther, Venegas, Tapia, 5/9/1992, 982645403, 13485587, esther.venegas@vitasalud.com, Cardiología
D7088, 042922, Pedro, Fernández, Fuentes, 16/12/1990, 936243873, 99180428, pedro.fernández@vitasalud.com, Radiología
D5480, 011607, Laura, Vargas, Venegas, 23/5/1994, 956311232, 75763432, laura.vargas@vitasalud.com, Neurología
D5545, 043804, Noelia, Zúñiga, Valdés, 9/2/1942, 976218631, 44564277, noelia.zúñiga@vitasalud.com, Cardiología
D6006, 076101, Jesús, Salazar, Flores, 1/4/1984, 954741478, 17723838, jesús.salazar@vitasalud.com, Anestesiología
D9216, 048563, Ximena, Soto, Soto, 27/1/1961, 988879131, 21926554, ximena.soto@vitasalud.com, Medicina Interna
D7377, 039774, Sara, Venegas, Gutiérrez, 15/6/2012, 943019505, 67709822, sara.venegas@vitasalud.com, Nefrología
D3627, 030756, Jesús, Ruiz, Chávez, 12/11/1955, 986140847, 68902962, jesús.ruiz@vitasalud.com, Cirugía Plástica
D4550, 046217, Aitana, Rojas, Zúñiga, 22/4/1960, 948191492, 84269936, aitana.rojas@vitasalud.com, Dermatología
D3959, 070269, Gloria, Álvarez, Flores, 11/2/2004, 969401095, 24766022, gloria.álvarez@vitasalud.com, Oncología
D8025, 049469, Claudia, Pizarro, Araya, 4/1/2018, 984066232, 97683096, claudia.pizarro@vitasalud.com, Urología
D4713, 075740, Enrique, Andrade, Ortega, 6/12/1980, 930230931, 61350777, enrique.andrade@vitasalud.com, Cirugía General
D8447, 083218, Eva, Álvarez, Silva, 11/1/2022, 914157073, 92936401, eva.álvarez@vitasalud.com, Medicina General
D4922, 063650, María, Bello, Navarro, 11/4/1977, 912315132, 81680892, maría.bello@vitasalud.com, Pediatría
D5656, 097047, Almudena, Fernández, Vera, 12/2/1948, 975341522, 57957179, almudena.fernández@vitasalud.com, Medicina Interna
D3534, 098077, Paula, Avila, Paredes, 28/3/2013, 967241861, 89882645, paula.avila@vitasalud.com, Oncología
D8773, 092603, Cristina, Andrade, Álvarez, 18/2/1937, 936917883, 20966507, cristina.andrade@vitasalud.com, Medicina Familiar y Comunitaria
D3132, 083636, Joaquín, Cisternas, Vera, 2/12/1975, 912977927, 99792073, joaquín.cisternas@vitasalud.com, Neurología
D8343, 052481, Emilio, Valenzuela, Barrera, 17/10/2015, 979452779, 96239273, emilio.valenzuela@vitasalud.com, Cardiología
D2688, 044822, Hugo, Peralta, Ibacache, 20/12/1949, 973454849, 70559830, hugo.peralta@vitasalud.com, Gastroenterología
D3013, 067551, Laura, Hidalgo, Espinoza, 27/8/1983, 965086178, 36786496, laura.hidalgo@vitasalud.com, Urología
D5517, 064495, Eduardo, Hernández, Cáceres, 3/12/1964, 949881881, 48187838, eduardo.hernández@vitasalud.com, Oftalmología
D4798, 030926, Elena, Abarca, Zúñiga, 14/3/2020, 982614283, 12914303, elena.abarca@vitasalud.com, Obstetricia y Ginecología
D8059, 083212, Montserrat, Ruiz, Gutiérrez, 15/4/1935, 996003976, 10796496, montserrat.ruiz@vitasalud.com, Gastroenterología
D1603, 047112, Marina, Andrade, Cabrera, 15/4/1967, 912572988, 85588769, marina.andrade@vitasalud.com, Radiología
D3633, 010179, Claudia, Carvajal, Figueroa, 4/7/2014, 973593422, 30326842, claudia.carvajal@vitasalud.com, Cardiología
D8973, 010003, Belén, Godoy, Vega, 15/12/1937, 928274115, 90194447, belén.godoy@vitasalud.com, Medicina General
D4285, 043105, Carla, Vega, Vera, 26/2/1957, 965138780, 71957280, carla.vega@vitasalud.com, Obstetricia y Ginecología
D5021, 056697, Celia, Guerrero, Cisternas, 12/8/1971, 928452802, 86378003, celia.guerrero@vitasalud.com, Medicina General
D4094, 024211, Alberto, Gallardo, González, 1/8/1974, 935848835, 39965288, alberto.gallardo@vitasalud.com, Endocrinología
D9238, 086929, Julián, Godoy, Peralta, 12/2/1981, 912177936, 10710687, julián.godoy@vitasalud.com, Anestesiología
D7567, 099266, Alberto, Olivares, Duarte, 28/9/1992, 983452588, 63382807, alberto.olivares@vitasalud.com, Dermatología
D2679, 065146, Julián, Guerrero, Ibacache, 25/6/1972, 976189353, 83069552, julián.guerrero@vitasalud.com, Psiquiatría
D5255, 076595, Amelia, Vega, Ruiz, 15/9/1930, 916428838, 71193301, amelia.vega@vitasalud.com, Psiquiatría
D2723, 022330, Sara, Delgado, Rivera, 7/9/1988, 921899995, 82839871, sara.delgado@vitasalud.com, Nefrología
D1861, 063980, Salma, Vargas, Bello, 8/10/2008, 916172679, 18181818, salma.vargas@vitasalud.com, Cardiología
D2932, 060821, Eva, Acosta, Olivares, 21/5/1932, 964356308, 23411599, eva.acosta@vitasalud.com, Otorrinolaringología
D8436, 020546, Nora, Hidalgo, Venegas, 22/12/1996, 997149511, 29350064, nora.hidalgo@vitasalud.com, Pediatría
D8825, 037943, Manuela, Abarca, Bello, 7/10/2016, 942612531, 80354393, manuela.abarca@vitasalud.com, Medicina Familiar y Comunitaria
D4144, 083560, Nerea, Alarcón, Sánchez, 17/2/2004, 994063894, 11948299, nerea.alarcón@vitasalud.com, Radiología
D9661, 082079, Linda, Gutiérrez, Sánchez, 28/7/1965, 947361425, 89755071, linda.gutiérrez@vitasalud.com, Cirugía Plástica
D2080, 087521, Inés, Carrasco, Herrera, 3/5/1939, 958988161, 19020735, inés.carrasco@vitasalud.com, Cirugía Plástica
D5052, 092259, Gloria, Avila, Pérez, 1/10/1943, 931361442, 20413205, gloria.avila@vitasalud.com, Anestesiología
D5980, 094406, Enrique, Olivares, Cruz, 12/10/1937, 918228099, 50684554, enrique.olivares@vitasalud.com, Oftalmología
