D6726, 083734, Carlos, Venegas, Valenzuela, 13/9/1940, 999680662, 71529827, carlos.venegas@hotmail.com, Radiología
D8400, 069942, Gisela, Mendoza, Abarca, 22/3/1984, 934587390, 83319697, gisela.mendoza@hotmail.com, Medicina General
D3282, 063832, Luis, Vidal, Aravena, 8/8/1975, 944420067, 46538535, luis.vidal@hotmail.com, Neurología
D1279, 014393, Nuria, Herrera, Cortés, 9/7/1953, 991485916, 89630820, nuria.herrera@hotmail.com, Oftalmología
D9464, 088616, Carlos, Gallardo, Bustos, 5/3/1935, 936745951, 39439314, carlos.gallardo@hotmail.com, Neurología
D2157, 082778, Mónica, Ibarra, Ibarra, 14/12/2016, 966798715, 69863829, mónica.ibarra@hotmail.com, Oncología
D7307, 082927, Julián, Ramírez, Acosta, 18/7/1938, 921015362, 26227473, julián.ramírez@hotmail.com, Dermatología
D5596, 016381, Isidora, Araya, Campos, 5/1/1967, 995134921, 68154014, isidora.araya@hotmail.com, Gastroenterología
D2474, 053852, Ana, Rojas, Duarte, 21/1/1996, 967948281, 17739256, ana.rojas@hotmail.com, Cardiología
D9852, 062360, Eduardo, Torres, Gutiérrez, 24/5/2004, 955042097, 83859194, eduardo.torres@hotmail.com, Otorrinolaringología
D8624, 076573, Eugenia, Contreras, Vera, 12/6/2016, 992909987, 56012768, eugenia.contreras@hotmail.com, Oncología
D7595, 041427, Íria, Zúñiga, Venegas, 19/5/1943, 946202641, 25107795, íria.zúñiga@hotmail.com, Medicina Familiar y Comunitaria
D4243, 064078, Íria, Alarcón, Valenzuela, 22/12/1954, 976555799, 64128474, íria.alarcón@hotmail.com, Obstetricia y Ginecología
D8549, 093511, Martín, Ríos, López, 14/6/1983, 955194570, 36360487, martín.ríos@hotmail.com, Radiología
D9252, 029773, Adela, Pérez, Gómez, 8/11/1940, 939197791, 87594704, adela.pérez@hotmail.com, Cirugía General
D8939, 019795, Montserrat, Gómez, Aravena, 19/6/1939, 937291457, 73090500, montserrat.gómez@hotmail.com, Psiquiatría
D1948, 013338, Carolina, Sepúlveda, Salazar, 26/1/2003, 920808846, 39596676, carolina.sepúlveda@hotmail.com, Pediatría
D1670, 075175, Beatriz, Ponce, Luna, 10/12/1979, 986825575, 23755833, beatriz.ponce@hotmail.com, Urología
D9951, 046751, Alba, Carrasco, Rojas, 10/4/1931, 934150323, 52100590, alba.carrasco@hotmail.com, Dermatología
D4048, 034356, Javier, Salazar, Molina, 17/2/2007, 982420536, 72344413, javier.salazar@hotmail.com, Obstetricia y Ginecología
D2384, 062217, Eva, Cabrera, Aravena, 17/11/1988, 924716846, 98439200, eva.cabrera@hotmail.com, Anestesiología
D3571, 017779, Guillermo, Fuentes, Tapia, 21/12/2013, 960789165, 81776022, guillermo.fuentes@hotmail.com, Obstetricia y Ginecología
